#Tail	Head	PosReg	NegReg	ID
None	http://pathwaycommons.org/pc12/Protein_1138278b0cf9e99e044fc61fd3907835	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626	None	http://pathwaycommons.org/pc12/TemplateReaction_b7a679f2c2a4f1ba06bf2b72a7aa0674
http://pathwaycommons.org/pc12/Complex_09287bd75ccb560b82b6668e0a7abe4b;http://pathwaycommons.org/pc12/Complex_c352d607cb49b66a0aa6a826932dcfec	http://pathwaycommons.org/pc12/Complex_0c2a26ece7532a5e1cb535a01fe57d51	None	http://pathwaycommons.org/pc12/Protein_b45881a6801e935e87c432293f5fb7ed	http://pathwaycommons.org/pc12/ComplexAssembly_0ca69966bd249440977b79c7e785f272
None	http://pathwaycommons.org/pc12/Protein_2336478cad757ef55ccfbc125b1f8df9	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626	None	http://pathwaycommons.org/pc12/TemplateReaction_aee09dc14532d9ef289bda79eb5d2cf7
http://pathwaycommons.org/pc12/Protein_588d263f9d1a0ab724f9359ff651fa09	http://pathwaycommons.org/pc12/Protein_9166f8335c1e6e49cfbd4726d586d01b	http://pathwaycommons.org/pc12/Complex_0c2a26ece7532a5e1cb535a01fe57d51	None	http://pathwaycommons.org/pc12/BiochemicalReaction_a38af888afcefc93f2c87a93158c87df
None	http://pathwaycommons.org/pc12/Protein_c28112166f20d7da9801b9d8e4af05d5	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626;http://pathwaycommons.org/pc12/Pathway_1657702f4b0942c49740c8f5ca6cdba8;http://pathwaycommons.org/pc12/Protein_bdfe5a0e71e8d0851855b6be2a956902	None	http://pathwaycommons.org/pc12/TemplateReaction_5540f8788b83b83d4e1897b33f59fff9
None	http://pathwaycommons.org/pc12/Protein_72767687cb6e1b8658a786f7be5f2838	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626;http://pathwaycommons.org/pc12/Pathway_1657702f4b0942c49740c8f5ca6cdba8	None	http://pathwaycommons.org/pc12/TemplateReaction_83ba4c27f23d6ae8f7af085b59755d44
None	http://pathwaycommons.org/pc12/Protein_46cf54f272ad18c63789bc1fc1bb2332	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626	None	http://pathwaycommons.org/pc12/TemplateReaction_09349b6427eb260c84c6ff7ee27b1d98
None	http://pathwaycommons.org/pc12/Pathway_2f0ad02b10736606540e8b5b6ec68060	http://pathwaycommons.org/pc12/Pathway_28434b6a0f5c150c08aaf39cf1d22274	None	new_http://pathwaycommons.org/pc12/Control_e16c209adc42dbb598fe78cfb4c3b5b6
None	http://pathwaycommons.org/pc12/Protein_cd4a1e2feb01c832246647e63c668723	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626	None	http://pathwaycommons.org/pc12/TemplateReaction_0700a9b67664b6d45a313e7c1a4485ea
http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626	http://pathwaycommons.org/pc12/Complex_aa31f260bd70ee26103725d7a14be581	http://pathwaycommons.org/pc12/Complex_0c2a26ece7532a5e1cb535a01fe57d51;http://pathwaycommons.org/pc12/Pathway_10ac18ff57b191b19849bf00feff634a	None	http://pathwaycommons.org/pc12/BiochemicalReaction_e1da1ae3a157795a8bfd85e5c62870be
