HCCP        0.000e+00 0.00e+00  4.750e+03 0.00e+00 1      H2O 1
NH3         0.000e+00 0.00e+00  5.534e+03 0.00e+00 1      H2O 1
NH3         0.000e+00 0.00e+00  5.500e+03 1.65e+03 1      H2O 2
NH3         1.940e+15 0.00e+00  5.362e+03 0.00e+00 1 CompactA 2
NH3         1.410e+15 0.00e+00  3.330e+03 0.00e+00 1 Highly-O 2
NH3         1.410e+15 0.00e+00  4.175e+03 0.00e+00 1  Mg2SiO4 2
HCCSi       0.000e+00 0.00e+00  4.750e+03 0.00e+00 1      H2O 1
l-SiC3      0.000e+00 0.00e+00  5.100e+03 0.00e+00 1      H2O 1
SiCH2       0.000e+00 0.00e+00  3.750e+03 0.00e+00 1      H2O 1
SiH3        0.000e+00 0.00e+00  4.050e+03 0.00e+00 1      H2O 1
l-C3H       0.000e+00 0.00e+00  2.937e+03 0.00e+00 1      H2O 1
l-C3H       0.000e+00 0.00e+00  4.000e+03 1.20e+03 1      H2O 2
HC2O        0.000e+00 0.00e+00  2.400e+03 0.00e+00 1      H2O 1
HNCO        1.280e+12 0.00e+00  2.800e+03 0.00e+00 0      H2O 1
HNCO        0.000e+00 0.00e+00  2.850e+03 0.00e+00 1      H2O 1
HNCO        0.000e+00 0.00e+00  4.400e+03 1.32e+03 1      H2O 2
HNCS        0.000e+00 0.00e+00  4.600e+03 1.38e+03 1      H2O 2
HOCN        1.280e+12 0.00e+00  2.800e+03 0.00e+00 0      H2O 1
HCNO        1.280e+12 0.00e+00  2.800e+03 0.00e+00 0      H2O 1
HONC        1.280e+12 0.00e+00  2.800e+03 0.00e+00 0      H2O 1
H2CCN       0.000e+00 0.00e+00  4.230e+03 0.00e+00 1      H2O 1
H2CCO       0.000e+00 0.00e+00  2.200e+03 0.00e+00 1      H2O 1
H2CCO       0.000e+00 0.00e+00  2.800e+03 8.40e+02 1      H2O 2
C2H3        0.000e+00 0.00e+00  3.037e+03 0.00e+00 1      H2O 1
C2H3        0.000e+00 0.00e+00  2.800e+03 8.40e+02 1      H2O 2
c-C3H2      0.000e+00 0.00e+00  3.387e+03 0.00e+00 1      H2O 1
c-C3H2      0.000e+00 0.00e+00  5.900e+03 1.77e+03 1      H2O 2
C4H         0.000e+00 0.00e+00  3.737e+03 0.00e+00 1      H2O 1
C4N         0.000e+00 0.00e+00  4.000e+03 0.00e+00 1      H2O 1
C4P         0.000e+00 0.00e+00  7.500e+03 0.00e+00 1      H2O 1
C4S         0.000e+00 0.00e+00  4.300e+03 0.00e+00 1      H2O 1
C5          0.000e+00 0.00e+00  4.000e+03 0.00e+00 1      H2O 1
HCOOH       0.000e+00 0.00e+00  5.570e+03 0.00e+00 1      H2O 1
CH2PH       0.000e+00 0.00e+00  2.600e+03 0.00e+00 1      H2O 1
CH2NH       0.000e+00 0.00e+00  5.534e+03 0.00e+00 1      H2O 1
CH4         0.000e+00 0.00e+00  1.300e+03 0.00e+00 1      H2O 1
CH4         0.000e+00 0.00e+00  9.600e+02 2.88e+02 1      H2O 2
CH4         5.430e+13 0.00e+00  1.232e+03 0.00e+00 1 CompactA 2
CH4         1.040e+14 0.00e+00  1.593e+03 0.00e+00 1 Graphite 2
HCNCC       0.000e+00 0.00e+00  4.580e+03 0.00e+00 1      H2O 1
HCCNC       0.000e+00 0.00e+00  4.580e+03 0.00e+00 1      H2O 1
HC3N        0.000e+00 0.00e+00  4.580e+03 0.00e+00 1      H2O 1
HNCCC       0.000e+00 0.00e+00  4.580e+03 0.00e+00 1      H2O 1
NH2CN       0.000e+00 0.00e+00  5.556e+03 0.00e+00 1      H2O 1
c-HCCHSi    0.000e+00 0.00e+00  5.200e+03 0.00e+00 1      H2O 1
SiC3H       0.000e+00 0.00e+00  5.550e+03 0.00e+00 1      H2O 1
SiC4        0.000e+00 0.00e+00  5.900e+03 0.00e+00 1      H2O 1
SiCH3       0.000e+00 0.00e+00  4.200e+03 0.00e+00 1      H2O 1
SiH4        0.000e+00 0.00e+00  4.500e+03 0.00e+00 1      H2O 1
l-C3H2      0.000e+00 0.00e+00  3.387e+03 0.00e+00 1      H2O 1
CH2OH       0.000e+00 0.00e+00  5.084e+03 0.00e+00 1      H2O 1
CH2OH       0.000e+00 0.00e+00  4.400e+03 1.32e+03 1      H2O 2
CH3O        0.000e+00 0.00e+00  4.400e+03 1.32e+03 1      H2O 2
CH3S        0.000e+00 0.00e+00  4.200e+03 1.26e+03 1      H2O 2
NC4N        0.000e+00 0.00e+00  4.200e+03 0.00e+00 1      H2O 1
